offre_id,titre,entreprise,localisation,contrat,scraped_at,url,mots_cles,domaine,region,experience_requise,salaire_impute
73452413,Employé de Ménage-Repassage - à Domicile - - St Martin d'Hères et Alentours H/F,O2,Saint-Martin-d'Hères - 38,CDI,2025-12-06 15:35:15,https://www.hellowork.com/fr-fr/emplois/73452413.html,"Saint-Martin-d'Hères - 38, CDI, Temps partiel, BEP, CAP, Bac, Services aux Personnes • Particuliers, Saint-Martin-d'Hères - 38, CDI, Temps partiel",Services aux Personnes,Saint-Martin-d'Hères,0,1804.96
73438755,Technico-Commercial Itinérant H/F,Roussely,Évreux - 27,CDI,2025-12-06 15:35:17,https://www.hellowork.com/fr-fr/emplois/73438755.html,"Évreux - 27, CDI, Bac +2, Bac +3, Bac +4, Distribution • Commerce de gros, Exp. 1 an min., Évreux - 27, CDI",Distribution,Évreux,+1,2404.641511627907
73438741,Technico-Commercial Itinérant H/F,Roussely,Chartres - 28,CDI,2025-12-06 15:35:17,https://www.hellowork.com/fr-fr/emplois/73438741.html,"Chartres - 28, CDI, Bac +2, Bac +3, Bac +4, Distribution • Commerce de gros, Exp. 1 an min., Chartres - 28, CDI",Distribution,Chartres,+1,3281.0
73438342,Conseiller de Vente - Clisson 44 H/F,Pallard,Clisson - 44,CDI,2025-12-06 15:35:17,https://www.hellowork.com/fr-fr/emplois/73438342.html,"Clisson - 44, CDI, Bac, BTP, Distribution • Commerce de gros, Exp. 1 an min., Clisson - 44, CDI",Distribution,Clisson,+1,2404.641511627907
73438322,Chargé d'Affaires Cnd Nord H/F,ALPHA,Rouen - 76,CDI,2025-12-06 15:35:17,https://www.hellowork.com/fr-fr/emplois/73438322.html,"Rouen - 76, CDI, Télétravail partiel, Bac +2, Industrie Manufacturière, Exp. 1 à 7 ans, Rouen - 76, CDI",Industrie Manufacturière,Rouen,+1,3333.33
73438326,Chargé d'Affaires Cnd Sud H/F,ALPHA,Saint-Mitre-les-Remparts - 13,CDI,2025-12-06 15:35:17,https://www.hellowork.com/fr-fr/emplois/73438326.html,"Saint-Mitre-les-Remparts - 13, CDI, Télétravail partiel, Bac +2, Industrie Manufacturière, Exp. 1 à 7 ans, Saint-Mitre-les-Remparts - 13, CDI",Industrie Manufacturière,Saint-Mitre-les-Remparts,+1,3125.0
73438318,Ingénieur Installation Générale - Nucléaire H/F,B-Hive,Paris - 75,CDI,2025-12-06 15:35:17,https://www.hellowork.com/fr-fr/emplois/73438318.html,"Paris - 75, CDI, Bac +5, Secteur informatique • ESN, Exp. 7 ans min., Paris - 75, CDI",Secteur informatique,Paris,0,3875.0
73438308,Chargé d'Études Techniques Menuiserie H/F,Talentua,Saint-Omer - 62,CDI,2025-12-06 15:35:17,https://www.hellowork.com/fr-fr/emplois/73438308.html,"Saint-Omer - 62, CDI, Télétravail occasionnel, Bac +2, Services aux Entreprises, Exp. 1 an, Saint-Omer - 62, CDI",Services aux Entreprises,Saint-Omer,0,3250.0
73438063,Manager Commercial H/F,Gan Prévoyance,Meaux - 77,CDI,2025-12-06 15:35:17,https://www.hellowork.com/fr-fr/emplois/73438063.html,"Meaux - 77, CDI, Télétravail partiel, Bac +3, Bac +4, Bac +5, Banque • Assurance • Finance, Exp. 6 à 10 ans, Meaux - 77, CDI",Banque,Meaux,+6,3750.0
73438057,Convoyeur H/F,Petit Forestier Group,Quimper - 29,CDI,2025-12-06 15:35:17,https://www.hellowork.com/fr-fr/emplois/73438057.html,"Quimper - 29, CDI, BEP, CAP, Bac, Transport • Logistique, Exp. 1 an min., Quimper - 29, CDI",Transport,Quimper,+1,2748.5491860465117
